,ds,y
0,2010-01-04,1116.1
1,2010-01-05,1117.1
2,2010-01-06,1137.45
3,2010-01-07,1130.45
4,2010-01-08,1137.0
5,2010-01-11,1150.4
6,2010-01-12,1127.55
7,2010-01-13,1136.45
8,2010-01-14,1140.95
9,2010-01-15,1130.25
10,2010-01-18,1132.93
11,2010-01-19,1137.5
12,2010-01-20,1111.15
13,2010-01-21,1093.45
14,2010-01-22,1092.3
15,2010-01-25,1097.5
16,2010-01-26,1097.25
17,2010-01-27,1087.95
18,2010-01-28,1085.3
19,2010-01-29,1080.05
20,2010-02-01,1105.95
21,2010-02-02,1113.8
22,2010-02-03,1109.85
23,2010-02-04,1064.2
24,2010-02-05,1065.3
25,2010-02-08,1061.8
26,2010-02-09,1077.65
27,2010-02-10,1070.9
28,2010-02-11,1092.0
29,2010-02-12,1092.55
30,2010-02-15,1100.0
31,2010-02-16,1118.0
32,2010-02-17,1108.25
33,2010-02-18,1108.63
34,2010-02-19,1118.45
35,2010-02-22,1112.95
36,2010-02-23,1102.3
37,2010-02-24,1095.38
38,2010-02-25,1106.05
39,2010-02-26,1116.85
40,2010-03-01,1116.3
41,2010-03-02,1133.18
42,2010-03-03,1139.3
43,2010-03-04,1131.25
44,2010-03-05,1133.9
45,2010-03-08,1123.63
46,2010-03-09,1120.5
47,2010-03-10,1107.55
48,2010-03-11,1108.68
49,2010-03-12,1100.85
50,2010-03-15,1108.2
51,2010-03-16,1126.65
52,2010-03-17,1119.47
53,2010-03-18,1126.33
54,2010-03-19,1105.95
55,2010-03-22,1101.15
56,2010-03-23,1104.1
57,2010-03-24,1085.63
58,2010-03-25,1089.47
59,2010-03-26,1106.47
60,2010-03-29,1108.2
61,2010-03-30,1102.88
62,2010-03-31,1112.68
63,2010-04-01,1125.58
64,2010-04-02,1119.95
65,2010-04-05,1129.95
66,2010-04-06,1133.2
67,2010-04-07,1146.95
68,2010-04-08,1150.13
69,2010-04-09,1160.95
70,2010-04-12,1154.63
71,2010-04-13,1150.2
72,2010-04-14,1154.68
73,2010-04-15,1157.58
74,2010-04-16,1136.45
75,2010-04-19,1134.38
76,2010-04-20,1139.3
77,2010-04-21,1145.35
78,2010-04-22,1140.35
79,2010-04-23,1156.8
80,2010-04-26,1152.5
81,2010-04-27,1167.72
82,2010-04-28,1164.43
83,2010-04-29,1166.3
84,2010-04-30,1178.05
85,2010-05-03,1181.35
86,2010-05-04,1171.53
87,2010-05-05,1174.58
88,2010-05-06,1207.45
89,2010-05-07,1207.1
90,2010-05-10,1201.2
91,2010-05-11,1229.55
92,2010-05-12,1236.6
93,2010-05-13,1231.72
94,2010-05-14,1231.15
95,2010-05-17,1223.0
96,2010-05-18,1220.75
97,2010-05-19,1190.85
98,2010-05-20,1182.15
99,2010-05-21,1176.13
100,2010-05-24,1190.95
101,2010-05-25,1200.07
102,2010-05-26,1210.1
103,2010-05-27,1209.63
104,2010-05-28,1213.38
105,2010-05-31,1216.4
106,2010-06-01,1224.4
107,2010-06-02,1222.82
108,2010-06-03,1207.1
109,2010-06-04,1218.85
110,2010-06-07,1239.0
111,2010-06-08,1234.3
112,2010-06-09,1231.55
113,2010-06-10,1216.85
114,2010-06-11,1225.55
115,2010-06-14,1221.2
116,2010-06-15,1233.55
117,2010-06-16,1230.85
118,2010-06-17,1244.3
119,2010-06-18,1255.88
120,2010-06-21,1231.07
121,2010-06-22,1238.35
122,2010-06-23,1236.5
123,2010-06-24,1243.7
124,2010-06-25,1254.5
125,2010-06-28,1237.03
126,2010-06-29,1239.85
127,2010-06-30,1241.15
128,2010-07-01,1199.03
129,2010-07-02,1210.45
130,2010-07-05,1208.03
131,2010-07-06,1193.53
132,2010-07-07,1201.7
133,2010-07-08,1197.45
134,2010-07-09,1210.6
